排序,搜索起始_rx_度,搜索起始_ry_度,搜索起始_rz_度,收敛结束_rx_度,收敛结束_ry_度,收敛结束_rz_度,最终平移_x_米,最终平移_y_米,最终平移_z_米,覆盖程度,loss
183,90.0,135.0,90.0,-90.0,45.00000000000001,-90.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
184,90.0,135.0,135.0,-90.00000000000001,45.0,-45.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
185,90.0,135.0,180.0,-90.00000000000001,45.00000000000001,-7.016709298534876e-15,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
186,90.0,135.0,225.0,-90.00000000000001,45.0,44.99999999999999,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
187,90.0,135.0,270.0,-90.00000000000001,45.00000000000001,89.99999999999999,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
188,90.0,135.0,315.0,-90.00000000000001,45.00000000000001,134.99999999999997,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
189,90.0,180.0,0.0,-90.0,7.016709298534876e-15,180.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
190,90.0,180.0,45.0,-90.00000000000001,7.0167092985348775e-15,-135.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
191,90.0,180.0,90.0,-90.00000000000001,7.016709298534876e-15,-90.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
192,90.0,180.0,135.0,-90.00000000000001,7.016709298534876e-15,-45.00000000000001,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
193,90.0,180.0,180.0,-90.0,7.016709298534876e-15,-7.016709298534876e-15,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
194,90.0,180.0,225.0,-90.00000000000001,7.016709298534876e-15,44.99999999999999,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
195,90.0,180.0,270.0,-90.00000000000001,7.016709298534876e-15,89.99999999999999,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
196,90.0,180.0,315.0,-90.00000000000001,7.016709298534876e-15,135.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
197,90.0,225.0,0.0,-90.00000000000001,-44.99999999999999,180.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
198,90.0,225.0,45.0,-90.00000000000001,-44.999999999999986,-135.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
199,90.0,225.0,90.0,-90.0,-44.99999999999999,-90.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
200,90.0,225.0,135.0,-90.00000000000003,-44.999999999999986,-45.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
201,90.0,225.0,225.0,-90.0,-44.999999999999986,45.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
202,90.0,225.0,270.0,-90.00000000000001,-44.99999999999999,89.99999999999999,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
203,90.0,225.0,315.0,-90.0,-44.99999999999999,135.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
204,90.0,270.0,0.0,-90.0,-90.0,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
205,90.0,270.0,45.0,-45.0,-90.0,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
206,90.0,270.0,135.0,44.999999999999986,-90.0,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
207,90.0,270.0,180.0,89.99999999999999,-90.0,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
208,90.0,270.0,225.0,135.0,-90.0,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
209,90.0,270.0,270.0,180.0,-90.0,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
210,90.0,270.0,315.0,-135.00000000000003,-90.0,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
211,90.0,315.0,45.0,90.00000000000003,-45.000000000000014,44.999999999999986,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
212,90.0,315.0,90.0,90.00000000000001,-45.000000000000014,90.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
213,90.0,315.0,135.0,89.99999999999999,-45.00000000000002,135.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
214,90.0,315.0,180.0,90.0,-45.000000000000014,180.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
215,90.0,315.0,225.0,90.00000000000001,-45.000000000000014,-135.00000000000003,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
216,90.0,315.0,270.0,90.0,-45.000000000000014,-90.00000000000003,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
217,90.0,315.0,315.0,89.99999999999997,-45.000000000000014,-45.00000000000001,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
218,135.0,0.0,0.0,135.0,-0.0,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
219,135.0,0.0,45.0,135.00000000000003,-0.0,45.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
220,135.0,0.0,90.0,135.0,-0.0,90.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
221,135.0,0.0,135.0,135.0,-0.0,135.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
222,135.0,0.0,180.0,135.0,-0.0,180.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
223,135.0,0.0,225.0,135.0,-0.0,-135.00000000000003,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
224,135.0,0.0,270.0,135.0,-0.0,-90.00000000000001,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
225,135.0,0.0,315.0,135.00000000000003,-0.0,-45.000000000000014,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
226,135.0,45.0,0.0,135.0,45.0,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
227,135.0,45.0,45.0,135.00000000000003,45.0,45.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
228,135.0,45.0,90.0,135.0,45.0,90.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
229,135.0,45.0,135.0,135.0,45.0,135.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
230,135.0,45.0,180.0,135.0,45.0,180.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
231,135.0,45.0,225.0,135.0,45.0,-135.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
232,135.0,45.0,270.0,135.0,45.0,-90.00000000000003,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
233,135.0,45.0,315.0,135.0,45.0,-45.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
234,135.0,90.0,0.0,135.0,90.0,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
235,135.0,90.0,45.0,90.0,90.0,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
236,135.0,90.0,90.0,45.0,90.0,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
237,135.0,90.0,135.0,5.81353709964777e-16,90.0,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
238,135.0,90.0,180.0,-45.0,90.0,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
239,135.0,90.0,225.0,-89.99999999999999,90.0,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
240,135.0,90.0,270.0,-135.0,90.0,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
241,135.0,90.0,315.0,-180.0,90.0,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
242,135.0,135.0,0.0,-45.00000000000001,45.00000000000001,180.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
243,135.0,135.0,45.0,-45.0,45.0,-135.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
244,135.0,135.0,90.0,-45.0,45.00000000000001,-90.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
245,135.0,135.0,135.0,-45.0,45.0,-45.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
246,135.0,135.0,180.0,-44.99999999999999,45.00000000000001,-7.016709298534876e-15,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
247,135.0,135.0,225.0,-45.00000000000001,45.0,44.99999999999999,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
248,135.0,135.0,270.0,-45.00000000000001,45.00000000000001,89.99999999999999,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
249,135.0,135.0,315.0,-45.00000000000002,45.00000000000001,134.99999999999997,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
250,135.0,180.0,0.0,-45.00000000000001,7.016709298534876e-15,180.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
251,135.0,180.0,45.0,-45.0,7.0167092985348775e-15,-135.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
252,135.0,180.0,135.0,-45.0,7.016709298534876e-15,-45.00000000000001,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
253,135.0,180.0,180.0,-45.00000000000001,7.016709298534876e-15,-7.016709298534876e-15,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
254,135.0,180.0,225.0,-45.000000000000014,7.016709298534876e-15,44.99999999999999,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
255,135.0,180.0,270.0,-45.00000000000001,7.016709298534876e-15,89.99999999999999,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
256,135.0,180.0,315.0,-45.0,7.016709298534876e-15,135.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
257,135.0,225.0,0.0,-45.0,-44.99999999999999,180.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
258,135.0,225.0,45.0,-45.0,-44.999999999999986,-135.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
259,135.0,225.0,135.0,-45.00000000000003,-44.999999999999986,-45.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
260,135.0,225.0,225.0,-45.000000000000014,-44.999999999999986,45.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
261,135.0,225.0,270.0,-45.00000000000002,-44.99999999999999,89.99999999999999,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
262,135.0,225.0,315.0,-45.000000000000014,-44.99999999999999,135.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
263,135.0,270.0,0.0,-45.00000000000001,-90.0,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
264,135.0,270.0,90.0,44.999999999999986,-90.0,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
265,135.0,270.0,135.0,89.99999999999999,-90.0,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
266,135.0,270.0,180.0,135.0,-90.0,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
267,135.0,270.0,225.0,180.0,-89.99999999999999,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
268,135.0,270.0,270.0,-135.00000000000003,-90.0,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
269,135.0,270.0,315.0,-90.00000000000001,-90.0,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
270,135.0,315.0,45.0,135.00000000000003,-45.000000000000014,44.999999999999986,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
271,135.0,315.0,90.0,135.0,-45.000000000000014,90.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
272,135.0,315.0,135.0,134.99999999999997,-45.00000000000002,135.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
273,135.0,315.0,180.0,135.0,-45.000000000000014,180.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
274,135.0,315.0,225.0,135.0,-45.000000000000014,-135.00000000000003,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
275,135.0,315.0,270.0,135.0,-45.000000000000014,-90.00000000000003,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
276,135.0,315.0,315.0,135.0,-45.000000000000014,-45.00000000000001,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
277,180.0,0.0,0.0,180.0,-0.0,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
278,180.0,0.0,45.0,180.0,-0.0,45.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
279,180.0,0.0,90.0,180.0,-0.0,90.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
280,180.0,0.0,135.0,180.0,-0.0,135.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
281,180.0,0.0,180.0,180.0,-0.0,180.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
282,180.0,0.0,225.0,180.0,-0.0,-135.00000000000003,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
283,180.0,0.0,270.0,180.0,-0.0,-90.00000000000001,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
284,180.0,0.0,315.0,180.0,-0.0,-45.000000000000014,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
285,180.0,45.0,0.0,180.0,45.0,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
286,180.0,45.0,45.0,179.99999999999997,45.0,45.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
287,180.0,45.0,90.0,180.0,45.0,90.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
288,180.0,45.0,135.0,180.0,45.0,135.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
289,180.0,45.0,180.0,180.0,45.0,180.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
290,180.0,45.0,225.0,180.0,45.0,-135.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
291,180.0,45.0,270.0,180.0,45.0,-90.00000000000003,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
292,180.0,45.0,315.0,-180.0,45.0,-45.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
293,180.0,90.0,0.0,180.0,90.0,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
294,180.0,90.0,45.0,135.0,90.0,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
295,180.0,90.0,90.0,90.0,90.00000000000001,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
296,180.0,90.0,135.0,45.00000000000001,90.0,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
297,180.0,90.0,180.0,4.296495291499103e-31,90.0,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
298,180.0,90.0,225.0,-45.00000000000001,90.0,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
299,180.0,90.0,270.0,-90.0,90.00000000000001,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
300,180.0,90.0,315.0,-135.0,90.0,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
301,180.0,135.0,0.0,-7.016709298534876e-15,45.00000000000001,180.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
302,180.0,135.0,45.0,-1.067960258129983e-14,45.0,-135.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
303,180.0,135.0,90.0,5.864715940010809e-15,45.00000000000001,-90.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
304,180.0,135.0,135.0,-3.3288361001055143e-15,45.0,-45.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
305,180.0,135.0,225.0,-1.4663098165474264e-14,45.0,44.99999999999999,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
306,180.0,135.0,270.0,-8.99596713278989e-15,45.00000000000001,89.99999999999999,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
307,180.0,135.0,315.0,-4.934717905527348e-15,45.00000000000001,134.99999999999997,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
308,180.0,180.0,0.0,-7.016709298534876e-15,7.016709298534876e-15,180.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
309,180.0,180.0,45.0,-7.016709298534876e-15,7.0167092985348775e-15,-135.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
310,180.0,180.0,90.0,-7.016709298534876e-15,7.016709298534876e-15,-90.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
311,180.0,180.0,135.0,-2.906416154682552e-15,7.016709298534876e-15,-45.00000000000001,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
312,180.0,180.0,225.0,-9.815802571171516e-15,7.016709298534876e-15,44.99999999999999,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
313,180.0,180.0,270.0,-7.016709298534875e-15,7.016709298534876e-15,89.99999999999999,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
314,180.0,180.0,315.0,-7.016709298534875e-15,7.016709298534876e-15,135.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
315,180.0,225.0,45.0,-7.795610737120311e-15,-44.999999999999986,-135.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
316,180.0,225.0,90.0,-2.698790139836966e-14,-44.99999999999999,-90.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
317,180.0,225.0,135.0,-2.022126662569038e-14,-44.999999999999986,-45.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
318,180.0,225.0,225.0,-7.717319733307718e-16,-44.999999999999986,45.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
319,180.0,225.0,270.0,-1.272221872585406e-14,-44.99999999999999,89.99999999999999,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
320,180.0,225.0,315.0,-8.806945457990272e-16,-44.99999999999999,135.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
321,180.0,270.0,45.0,44.999999999999986,-89.99999999999999,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
322,180.0,270.0,90.0,89.99999999999999,-89.99999999999999,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
323,180.0,270.0,135.0,135.0,-89.99999999999999,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
324,180.0,270.0,180.0,180.0,-89.99999999999999,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
325,180.0,270.0,225.0,-135.00000000000003,-89.99999999999999,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
326,180.0,270.0,270.0,-90.00000000000001,-89.99999999999999,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
327,180.0,270.0,315.0,-45.00000000000003,-89.99999999999999,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
328,180.0,315.0,45.0,180.0,-45.000000000000014,44.999999999999986,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
329,180.0,315.0,90.0,180.0,-45.000000000000014,90.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
330,180.0,315.0,135.0,180.0,-45.00000000000002,135.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
331,180.0,315.0,180.0,180.0,-45.000000000000014,180.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
332,180.0,315.0,225.0,180.0,-45.000000000000014,-135.00000000000003,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
333,180.0,315.0,270.0,180.0,-45.000000000000014,-90.00000000000003,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
334,180.0,315.0,315.0,180.0,-45.000000000000014,-45.00000000000001,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
335,225.0,0.0,0.0,-135.00000000000003,-0.0,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
336,225.0,0.0,45.0,-135.0,-0.0,45.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
337,225.0,0.0,90.0,-135.00000000000003,-0.0,90.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
338,225.0,0.0,135.0,-135.0,-0.0,135.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
339,225.0,0.0,180.0,-135.00000000000003,-0.0,180.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
340,225.0,0.0,225.0,-135.0,-0.0,-135.00000000000003,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
341,225.0,0.0,270.0,-135.00000000000003,-0.0,-90.00000000000001,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
342,225.0,0.0,315.0,-135.00000000000003,-0.0,-45.000000000000014,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
343,225.0,45.0,0.0,-135.00000000000003,45.0,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
344,225.0,45.0,45.0,-135.00000000000003,45.0,45.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
345,225.0,45.0,90.0,-135.00000000000003,45.0,90.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
346,225.0,45.0,135.0,-135.00000000000003,45.0,135.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
347,225.0,45.0,180.0,-135.0,45.0,180.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
348,225.0,45.0,225.0,-135.0,45.0,-135.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
349,225.0,45.0,270.0,-135.00000000000003,45.0,-90.00000000000003,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
350,225.0,45.0,315.0,-134.99999999999997,45.0,-45.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
351,225.0,90.0,0.0,-135.00000000000003,90.0,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
352,225.0,90.0,45.0,180.0,90.0,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
353,225.0,90.0,90.0,135.0,90.0,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
354,225.0,90.0,135.0,89.99999999999999,90.0,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
355,225.0,90.0,180.0,45.0,90.0,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
356,225.0,90.0,225.0,-2.4444795064968655e-15,90.0,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
357,225.0,90.0,270.0,-45.0,90.0,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
358,225.0,90.0,315.0,-90.0,90.0,0.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
359,225.0,135.0,0.0,44.999999999999986,45.00000000000001,180.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
360,225.0,135.0,45.0,44.99999999999998,45.0,-135.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
361,225.0,135.0,90.0,44.99999999999997,45.00000000000001,-90.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
362,225.0,135.0,135.0,44.99999999999999,45.0,-45.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
363,225.0,135.0,180.0,44.99999999999999,45.00000000000001,-7.016709298534876e-15,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
364,225.0,135.0,225.0,45.00000000000001,45.0,44.99999999999999,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
365,225.0,135.0,270.0,44.999999999999986,45.00000000000001,89.99999999999999,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
366,225.0,135.0,315.0,44.99999999999999,45.00000000000001,134.99999999999997,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
367,225.0,180.0,0.0,44.99999999999998,7.016709298534876e-15,180.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
368,225.0,180.0,45.0,44.99999999999997,7.0167092985348775e-15,-135.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
369,225.0,180.0,90.0,44.99999999999999,7.016709298534876e-15,-90.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
370,225.0,180.0,135.0,45.00000000000001,7.016709298534876e-15,-45.00000000000001,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
371,225.0,180.0,180.0,44.99999999999999,7.016709298534876e-15,-7.016709298534876e-15,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
372,225.0,180.0,315.0,45.00000000000001,7.016709298534876e-15,135.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
373,225.0,225.0,0.0,44.999999999999986,-44.99999999999999,180.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
374,225.0,225.0,45.0,44.99999999999999,-44.999999999999986,-135.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
375,225.0,225.0,90.0,44.99999999999998,-44.99999999999999,-90.0,-0.7472911817236044,-0.023572658464746443,-0.6363258798577491,0.0,0.0
